@RELATION WekaTry3

@ATTRIBUTE attribute_0 {Desert Marathon,Jerusalem Marathon,Tel Aviv Marathon,Tiberias Winner Marathon,﻿Marathon Name}
@ATTRIBUTE attribute_1 {"המרתון המדברי,"מרוץ הספארי רמת גן ע""ש דוד מלמדוביץ'","מרוץ הערבה ע""ש יוני פרידמן","מרוץ ראשון לציון,Desert Marathon 2017,International Tiberias Winner Marathon 2018,RaceOne,חצי מרתון גליל מערבי,חצי מרתון השרון 2016,חצי מרתון השרון 2017,חצי מרתון חיפה ה-19,חצי מרתון עמק המעיינות,מסכמת תל אביב,מרוץ אייל 2016,מרוץ אייל 2017,מרוץ אלישע דגניה ב' 2017,מרוץ הגליל העליון ה-2,מרוץ הגליל העליון ה-3,מרוץ הלילה של תל-אביב,מרוץ הלילה של תל-אביב 2017,מרוץ התחתונים ה-6,מרוץ חבר,מרוץ חיפה 2017,מרוץ כוכב יאיר צור יגאל 2016,מרוץ כפר סבא,מרוץ כפר-סבא 2017,מרוץ להבים,מרוץ מעגן מיכאל,מרוץ נהריה 2016,מרוץ נס ציונה,מרוץ ספארי רמת-גן,מרוץ ראשון לציון 2017,מרוץ שליחים כרמל טרייל יום III,מרתון Winner טבריה 2017,מרתון סמסונג תל-אביב 2016,מרתון סמסונג תל-אביב 2017,מרתון סמסונג תל-אביב 2018}
@ATTRIBUTE attribute_2 {RaceOneKM,אילת 2016",אליפות הארץ ל 15 ק""מ",5000,10000,15000,21097,42195}
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 {-98,-49,-21,"המרתון המדברי,"מרוץ הספארי רמת גן ע""ש דוד מלמדוביץ'","מרוץ הערבה ע""ש יוני פרידמן","מרוץ ראשון לציון,"מרתון התנ""ך 2017",Desert Marathon 2017,International Tiberias Winner Marathon 2018,RaceTwo,בשביל הבנים הדרוזים,חצי מרתון אשכול גליל מערבי,חצי מרתון גליל מערבי,חצי מרתון השרון 2016,חצי מרתון השרון 2017,חצי מרתון חיפה ה-19,חצי מרתון עמק המעיינות,מסכמת תל אביב,מרוץ אייל 2016,מרוץ אייל 2017,מרוץ אשדוד אליפות ישראל,מרוץ בית יצחק,מרוץ גיא,מרוץ דגניה ב,מרוץ הלילה של נהריה 2017,מרוץ הלילה של תל-אביב,מרוץ הלילה של תל-אביב 2017,מרוץ התחתונים ה-6,מרוץ חבר,מרוץ חיפה 2017,מרוץ כוכב יאיר צור יגאל 2016,מרוץ נהריה 2016,מרוץ נס ציונה,מרוץ ספארי רמת-גן,מרוץ ראשון לציון 2017,מרתון Winner טבריה 2017,מרתון טבריה Winner 2016,מרתון סמסונג תל-אביב 2016,מרתון סמסונג תל-אביב 2017,מרתון סמסונג תל-אביב 2018,ספורטיאדה ריצה ואופניים יום I,שביל הבנים הדרוזים 2017}
@ATTRIBUTE attribute_6 {RaceTwoKM,אילת 2016",אליפות הארץ ל 15 ק""מ",בשביל הבנים הדרוזים,מרוץ אייל 2016,מרוץ גיא,מרוץ הלילה של תל-אביב,מרוץ כוכב יאיר צור יגאל 2016,מרתון טבריה Winner 2016,5000,10000,15000,21097,42195}
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 {-0.215669179,-0.174586461,-0.082839791,-0.071312378,-0.02049143,-0.004769332,6.25E-05,0.010449148,0.014489943,0.030416983,0.033153012,0.034807161,0.039829206,0.041157229,0.046475263,0.046554953,0.048813074,0.049594136,0.063925742,0.07320708,0.083788938,0.087728666,0.089009278,0.092999982,0.097684071,0.106577038,0.112547782,0.124013958,0.133135206,0.134501548,0.143946516,0.155706161,0.160721089,0.165110336,0.168380915,0.172193511,0.172271523,0.183198071,0.190877815,0.195560987,0.208016315,0.218905121,0.224393941,0.243287052,0.254375723,0.26100101,0.265141594,0.290113693,0.296547784,0.335186489,0.351423989,Failure,Improvement,Same,Seccess}

@DATA
Tel Aviv Marathon,חצי מרתון עמק המעיינות,21097,0.126508101,-84,מרוץ חיפה 2017,21097,0.122602265,-28,11061,0.067504514,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,42195,0.359180518,-21,"המרתון המדברי, אילת 2016",21097,0.170506912,-98,13963,0.097684071,Same
Jerusalem Marathon,מרוץ נס ציונה,10000,0.165017261,-34,"מרוץ הערבה ע""ש יוני פרידמן",21097,0.200435335,-14,14411,0.208695497,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.296334597,-35,מרוץ הלילה של תל-אביב,10000,0.215235562,-16,13230,0.088352851,Same
Desert Marathon,מרוץ אייל 2017,15000,0.326211849,-6,"מרתון התנ""ך 2017",42195,0.45881114,-36,13847,0.167711676,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.266574744,-35,מרוץ הלילה של תל-אביב,10000,0.153495441,-16,14159,0.198171804,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,21097,0.268979632,-21,מרתון טבריה Winner 2016,42195,0.388418738,-49,14804,0.088615349,Same
Tel Aviv Marathon,מרוץ ראשון לציון 2017,15000,0.221825268,-21,מרתון Winner טבריה 2017,42195,0.426482759,-28,11386,-0.127710256,Seccess
Tel Aviv Marathon,Desert Marathon 2017,42195,0.446504759,-98,מרוץ הלילה של תל-אביב 2017,10000,0.149079985,-17,12490,-0.002204456,Seccess
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,10000,0.851430811,-21,מרתון טבריה Winner 2016,42195,0.345505431,-49,14665,-0.190311579,Seccess
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.221992416,-35,מרוץ אייל 2016,15000,0.21425486,-20,14929,0.243186707,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,42195,0.389697892,-14,חצי מרתון עמק המעיינות,21097,0.269677123,-84,14200,0.05681141,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.233367804,-35,חצי מרתון חיפה ה-19,21097,0.298380341,-28,12398,0.020884548,Same
Tel Aviv Marathon,Desert Marathon 2017,42195,0.612569741,-98,מרוץ הלילה של תל-אביב 2017,10000,0.49380398,-17,12757,-0.238255324,Seccess
Tiberias Winner Marathon,"המרתון המדברי, אילת 2016",21097,0.138144114,-49,מרוץ גיא,5000,0.102296451,-55,12480,0.172193511,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,42195,0.581257804,-21,מרתון טבריה Winner 2016,42195,0.291730526,-49,13552,-0.101667442,Seccess
Tel Aviv Marathon,"מרוץ ראשון לציון, אליפות הארץ ל 15 ק""מ",15000,0.3081571,-21,מרתון טבריה Winner 2016,42195,0.341840474,-28,13718,0.014489943,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,42195,0.453524596,-14,חצי מרתון עמק המעיינות,21097,0.21934965,-84,15059,0.10816515,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.233023095,-37,מרוץ אייל 2017,15000,0.221903052,-20,12734,0.088269993,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,21097,0.526424973,-21,חצי מרתון השרון 2016,21097,0.147103659,-77,15736,0.138370648,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.240032173,-35,מרוץ אייל 2016,15000,0.180993521,-20,12595,0.089831981,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,42195,0.264244298,-21,מרתון Winner טבריה 2017,42195,0.268344828,-49,13406,0.060856914,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.369757555,-35,"המרתון המדברי, אילת 2016",42195,0.640753218,-14,12439,-0.215669179,Seccess
Tel Aviv Marathon,מרתון Winner טבריה 2017,42195,0.318137931,-49,חצי מרתון עמק המעיינות,21097,0.208548776,-35,12731,0.037081849,Same
Tiberias Winner Marathon,מרוץ אלישע דגניה ב' 2017,5000,0.054676259,-22,חצי מרתון עמק המעיינות,21097,0.225209698,-15,15782,0.393566596,Failure
Jerusalem Marathon,International Tiberias Winner Marathon 2018,42195,0.332452129,-61,חצי מרתון עמק המעיינות,21097,0.232333678,-37,13305,0.043567594,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,42195,0.293312717,-21,מרתון Winner טבריה 2017,42195,0.400482759,-49,14695,0.062120998,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.295070665,-35,מרוץ אייל 2016,15000,0.239164867,-20,13161,0.072261544,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.293347122,-35,מרוץ אייל 2016,15000,0.232397408,-20,14738,0.185265666,Same
Tiberias Winner Marathon,מרוץ התחתונים ה-6,10000,0.250229991,-7,חצי מרתון עמק המעיינות,21097,0.278065035,-28,13455,0.095507659,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,42195,0.228935739,-14,חצי מרתון עמק המעיינות,21097,0.230380329,-84,15446,0.241121187,Same
Jerusalem Marathon,מרתון Winner טבריה 2017,42195,0.284689655,-70,חצי מרתון עמק המעיינות,21097,0.224635183,-35,13599,0.084746917,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,42195,0.254967143,-21,מרתון Winner טבריה 2017,42195,0.263172414,-49,13405,0.068018186,Same
Tel Aviv Marathon,חצי מרתון עמק המעיינות,21097,0.20395266,-84,מרוץ אייל 2016,15000,0.168034557,-20,14214,0.229081768,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,42195,0.338911831,-14,חצי מרתון עמק המעיינות,21097,0.195334942,-84,13613,0.079670445,Same
Desert Marathon,מרוץ אייל 2017,15000,0.235368043,-6,מרוץ הלילה של תל-אביב 2017,10000,0.113218175,-11,14007,0.412185394,Failure
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,42195,0.322071898,-21,מרתון Winner טבריה 2017,42195,0.360965517,-49,14642,0.064133881,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,21097,0.312654145,-14,חצי מרתון עמק המעיינות,21097,0.174882225,-84,13593,0.101672832,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,42195,0.317104977,-14,Desert Marathon 2017,42195,0.607975057,-98,14179,-0.077461554,Seccess
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,42195,0.252349346,-21,מרתון טבריה Winner 2016,42195,0.262610782,-49,12685,0.020224509,Same
Jerusalem Marathon,חצי מרתון עמק המעיינות,21097,0.223371251,-98,מרוץ אייל 2017,15000,0.247217235,-20,13712,0.118196016,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.161093876,-35,ספורטיאדה ריצה ואופניים יום I,5000,0.083665339,-30,11640,0.112103151,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,21097,0.151338536,-21,מרוץ ראשון לציון 2017,15000,0.161416044,-21,12224,0.095702735,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,42195,0.520061848,-21,מרתון Winner טבריה 2017,42195,0.357103448,-49,16444,0.081518972,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,21097,0.332521197,-21,מרתון טבריה Winner 2016,42195,0.394682482,-49,15694,0.112350197,Same
Tiberias Winner Marathon,מרוץ אייל 2016,15000,0.316774658,-55,מרוץ חבר,10000,0.204522912,-36,15785,0.259696043,Failure
Tel Aviv Marathon,חצי מרתון עמק המעיינות,21097,0.358726876,-84,מרוץ אייל 2017,15000,0.387432675,-20,15686,0.154052008,Same
Tel Aviv Marathon,מרוץ ראשון לציון 2017,15000,0.211594674,-21,חצי מרתון עמק המעיינות,21097,0.241296105,-63,13484,0.132193961,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.284614501,-35,בשביל הבנים הדרוזים,10000,0.216505047,-70,14446,0.177440226,Same
Tel Aviv Marathon,מרוץ אייל 2017,15000,0.187971275,-104,מרוץ הלילה של תל-אביב 2017,10000,0.106834397,-11,12153,0.123770097,Same
Tel Aviv Marathon,חצי מרתון עמק המעיינות,21097,0.316787315,-84,מרוץ אייל 2017,15000,0.338779174,-20,14094,0.084011293,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.209582902,-35,מרוץ אייל 2016,15000,0.179697624,-20,12513,0.100049392,Same
Jerusalem Marathon,חצי מרתון עמק המעיינות,21097,0.241296105,-98,מרוץ אייל 2017,15000,0.235008977,-20,15283,0.221601247,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,42195,0.453498261,-21,מרתון Winner טבריה 2017,42195,0.417793103,-49,15876,0.048380993,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,10000,0.160007503,-21,מרוץ ראשון לציון 2017,15000,0.200389737,-21,13606,0.159655302,Same
Tel Aviv Marathon,מרתון Winner טבריה 2017,42195,0.282551724,-49,מרוץ אייל 2016,15000,0.144852412,-55,11875,0.020546096,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2018,21097,0.547524189,-14,חצי מרתון עמק המעיינות,21097,0.327243479,-84,13962,-0.066983401,Seccess
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,42195,0.298647082,-21,מרתון Winner טבריה 2017,42195,0.350068966,-49,16751,0.215241849,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,21097,0.237111393,-21,מרתון טבריה Winner 2016,42195,0.342906644,-49,13978,0.072884644,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.250833046,-35,מרוץ כוכב יאיר צור יגאל 2016,10000,0.32757912,-28,16097,0.252655986,Failure
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.229576008,-35,מרוץ אייל 2016,15000,0.202303816,-20,12823,0.100129054,Same
Tel Aviv Marathon,חצי מרתון עמק המעיינות,21097,0.220268873,-84,מרוץ אייל 2017,15000,0.245421903,-20,12548,0.066944513,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.238193726,-35,מרוץ חבר,15000,0.198654941,-56,13060,0.11398946,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.259335861,-35,מרוץ נהריה 2016,5000,0.121651296,-42,16146,0.354747801,Failure
Jerusalem Marathon,מרתון Winner טבריה 2017,42195,0.412827586,-70,"המרתון המדברי, אילת 2016",21097,0.226225388,-49,14964,0.106577038,Same
Tel Aviv Marathon,מרתון Winner טבריה 2017,42195,0.263862069,-49,מרוץ אייל 2016,15000,0.160403168,-55,12309,0.055667923,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,42195,0.351186173,-21,מרתון טבריה Winner 2016,42195,0.396748184,-49,14116,-0.00198141,Seccess
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,21097,0.411265958,-21,מרתון טבריה Winner 2016,42195,0.327380556,-49,15524,0.095428357,Same
Tel Aviv Marathon,מרוץ אייל 2016,15000,0.248092153,-104,ספורטיאדה ריצה ואופניים יום I,5000,0.135956175,-10,13072,0.134763621,Same
Tel Aviv Marathon,"מרוץ ראשון לציון, אליפות הארץ ל 15 ק""מ",15000,0.306457704,-21,מרתון טבריה Winner 2016,42195,0.352368895,-28,10908,-0.174586461,Seccess
Tiberias Winner Marathon,מרוץ אייל 2016,5000,0.215646534,-55,ספורטיאדה ריצה ואופניים יום I,5000,0.209163347,-10,13111,0.123526094,Same
Tel Aviv Marathon,חצי מרתון עמק המעיינות,21097,0.219694358,-84,מרוץ הלילה של תל-אביב,10000,0.145896657,-16,12816,0.124201014,Same
Tiberias Winner Marathon,מרוץ מעגן מיכאל,10000,0.239740821,-48,מרוץ הלילה של תל-אביב,10000,0.450037994,-3,13022,-0.015096304,Seccess
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.227737562,-35,מרוץ הלילה של תל-אביב,10000,0.149316109,-16,12679,0.117611095,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.25611858,-35,מרוץ אייל 2016,15000,0.223614111,-20,13348,0.112409517,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,10000,0.235201882,-21,מרתון טבריה Winner 2016,42195,0.25661358,-49,13230,0.067704076,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.228541882,-35,מרוץ אייל 2016,15000,0.209215263,-20,14331,0.201190393,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.047799609,-35,מרוץ אייל 2016,15000,0.02937365,-20,8960,0.011068543,Same
Tel Aviv Marathon,מרוץ אייל 2017,15000,0.277019749,-104,מרוץ הלילה של תל-אביב 2017,10000,0.190762298,-11,12922,0.092994436,Same
Tiberias Winner Marathon,מרוץ אייל 2016,15000,0.079193665,-55,מרוץ אשדוד אליפות ישראל,5000,0.017074117,-11,10011,0.07400404,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.107319315,-35,מרוץ אייל 2016,15000,0.086105112,-20,10211,0.039218821,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,42195,0.477820858,-21,מרתון טבריה Winner 2016,42195,0.393682948,-49,15810,0.047842773,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2017,21097,0.394547071,-21,חצי מרתון עמק המעיינות,21097,0.261519016,-84,17036,0.229667814,Same
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,42195,0.456791746,-21,מרתון טבריה Winner 2016,42195,0.562204305,-49,15768,-0.028670512,Seccess
Jerusalem Marathon,מרתון סמסונג תל-אביב 2016,21097,0.355228535,-21,מרתון טבריה Winner 2016,42195,0.559139068,-49,16408,0.065810005,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.35769275,-35,מרוץ הלילה של תל-אביב,10000,0.245440729,-16,17920,0.366019467,Failure
Tel Aviv Marathon,מרתון Winner טבריה 2017,42195,0.462896552,-49,חצי מרתון עמק המעיינות,21097,0.317936344,-35,15422,0.118048956,Same
Tiberias Winner Marathon,חצי מרתון עמק המעיינות,21097,0.426749397,-35,מרוץ אייל 2016,15000,0.422174226,-20,17751,0.231469223,Same
Tel Aviv Marathon,מרוץ ראשון לציון 2017,15000,0.381292627,-21,חצי מרתון חיפה ה-19,21097,0.394163641,-91,17917,0.313624784,Failure
Tel Aviv Marathon,מרוץ ראשון לציון 2017,15000,0.384540435,-21,מרוץ הלילה של תל-אביב,10000,0.367401216,-79,15320,0.124608997,Same
Tel Aviv Marathon,חצי מרתון עמק המעיינות,21097,0.394116971,-84,מרוץ הלילה של תל-אביב,10000,0.336056231,-16,16439,0.222002692,Same
Jerusalem Marathon,מרוץ הגליל העליון ה-3,15000,0.433166771,-14,מרתון סמסונג תל-אביב 2017,21097,0.268201126,-7,15895,0.134549459,Same
Tel Aviv Marathon,חצי מרתון עמק המעיינות,21097,0.491899345,-84,מרוץ חיפה 2017,21097,0.372082274,-28,17546,0.229894288,Same
